state,admin1_pcode,district,township,admin3_pcode,population_2021_proj,fs_pin,fs_targeted,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,conflict_score,fatalities,area_sown_acres,population_density,flood_prob,flood_count,beneficiaries_2021,partners_2021,ben_6_months,not_in_6months,conflict_ranking,flood_ranking,fs_pin_ranking,fs_target_ranking,fs_pin_pc,pin_pop,group
Yangon,MMR013,Yangon (North),Htantabin,MMR013006,169665.07705270514,47506.25,47505.77842627601,1,0,0,0,1,0.00369879298469818,4,146349,242.87047098109048,0.13333333333333333,2,0,0,NA,1,276,8,103,27,0.0035928425608049127,0.28000016753738044,B2
Yangon,MMR013,Yangon (North),Shwepyithar,MMR013007,399777.52729647426,111937.5,111938.2923577508,0,17,5,10,11,0.0677208306409157,13,1616,6140.512958059941,0.26666666666666666,4,380550,4,377218,0,90,6,9,3,0.008465703231682145,0.2799994806035892,A1
Yangon,MMR013,Yangon (North),Hlaingtharya,MMR013008,800503.5088140167,227976.27210950773,227976,7,42,7,20,23,0.15029945221233754,79,2298,8241.385927326728,0,NA,772658,5,642,0,37,10,1,1,0.017241580913851993,0.2847910966027684,A1
Yangon,MMR013,Yangon (South),Thanlyin,MMR013023,311957.6489106349,87348.75,87347.8583052521,5,11,2,9,9,0.05000085252746077,18,104703,745.4886795129743,0.2,3,11963,1,NA,1,116,7,28,9,0.006606084602196724,0.28000194996027294,B2
Yangon,MMR013,Yangon (South),Kyauktan,MMR013024,194867.1931403737,54562.5,54563.18592132887,0,0,0,0,2,0.00357040389646332,2,241883,208.75261034426435,0.26666666666666666,4,0,0,NA,1,277,6,79,18,0.004126498560166674,0.27999838823919215,B2
Yangon,MMR013,Yangon (South),Thongwa,MMR013025,183727.80196974368,51443.75,51444.21544937408,0,1,0,7,2,0.01027431426528159,4,280691,218.78462530907024,0.26666666666666666,4,0,0,NA,1,233,6,90,24,0.003890631116693229,0.2799998119417537,B2
Yangon,MMR013,Yangon (South),Kayan,MMR013026,183894.21786374706,51490,51489.61900097004,3,4,0,5,5,0.021677069494158,14,213815,248.2889913187015,0.2,3,0,0,NA,1,179,7,89,23,0.0038941289505242983,0.2799979281466617,B2
Yangon,MMR013,Yangon (South),Twantay,MMR013027,263979.8302947172,73913.75,73913.64751916009,3,4,1,12,5,0.03178938120789885,15,107421,314.1724258500356,0.2,3,0,0,NA,1,150,7,37,12,0.005590011142295889,0.2799977176948703,B2
Yangon,MMR013,Yangon (South),Kawhmu,MMR013028,138544.1411265676,38792.50000000001,38791.640487892946,4,1,0,5,5,0.02059975231545849,18,103036,193.57152961981802,0.2,3,0,0,NA,1,188,7,130,31,0.002933831759821594,0.2800010140057886,B2
Yangon,MMR013,Yangon (South),Kungyangon,MMR013029,129911.46209358246,36375,36374.7906150022,1,2,2,2,5,0.02525218678874982,16,121159,187.32274535666065,0.2,3,0,0,NA,1,166,7,137,32,0.002750999040111116,0.27999838823919215,B2
Yangon,MMR013,Yangon (South),Dala,MMR013030,201161.9034247383,56325,56324.6670430415,0,3,2,3,0,0.01592426608927669,6,46962,752.9539111608455,0.2,3,271760,4,289373,0,199,7,76,17,0.004259794389945254,0.2799983448211562,B2
Yangon,MMR013,Yangon (South),Seikgyikanaungto,MMR013031,39570.90659997209,11080,11080.146153935677,1,0,1,1,0,0.00635725343492055,0,307,2809.957107476298,0.13333333333333333,2,0,0,NA,1,258,8,286,72,8.379675426647742e-4,0.2800036934207571,B1
